Parameterization,Variable,Runs,Runs with a divergence,Average total divergences,Average affected chains,Stepsize,Average leapfrog steps,Average warmup seconds,Average sampling seconds,Median ESS_bulk/s,Minimum ESS_bulk/s,Median R_hat,Maximum R_hat,Runs with R_hat > 1.01
Centered,mu,100,96,19.76,2.58,0.289728864055,14.820137500000001,0.08625999999999999,0.14332,15849.3,877.803,1.00168,1.03087,3
Centered,sigma,100,96,19.76,2.58,0.289728864055,14.820137500000001,0.08625999999999999,0.14332,2976.83,83.9993,1.00964,1.28683,47
Centered,alpha[1],100,96,19.76,2.58,0.289728864055,14.820137500000001,0.08625999999999999,0.14332,5747.1,143.478,1.00484,1.14379,15
Non-centered,mu,100,15,80.2,0.16,0.28052258592,15.058254999999999,0.17463,0.14853,13549.3,3441.47,1.0014750000000001,1.01877,3
Non-centered,sigma,100,15,80.2,0.16,0.28052258592,15.058254999999999,0.17463,0.14853,6430.865,34.0995,1.003205,2.0101,9
Non-centered,alpha[1],100,15,80.2,0.16,0.28052258592,15.058254999999999,0.17463,0.14853,10657.0,42.1587,1.001675,1.50925,7
