Parameterization,Variable,Runs,Runs with a divergence,Average total divergences,Average affected chains,Stepsize,Average leapfrog steps,Average warmup seconds,Average sampling seconds,Median ESS_bulk/s,Minimum ESS_bulk/s,Median R_hat,Maximum R_hat,Runs with R_hat > 1.01
Centered,mu,100,99,19.51,2.71,0.29156755897250003,14.87846,0.08542,0.14296,15210.95,317.65,1.0015999999999998,1.06522,7
Centered,sigma,100,99,19.51,2.71,0.29156755897250003,14.87846,0.08542,0.14296,2878.41,87.5462,1.010555,1.26167,54
Centered,alpha[1],100,99,19.51,2.71,0.29156755897250003,14.87846,0.08542,0.14296,5503.514999999999,201.971,1.004765,1.0955,20
Non-centered,mu,100,11,0.19,0.12,0.284599993125,15.0399625,0.16378,0.14967,13385.2,9500.45,1.00122,1.00431,0
Non-centered,sigma,100,11,0.19,0.12,0.284599993125,15.0399625,0.16378,0.14967,6445.65,4244.89,1.0028899999999998,1.0138,3
Non-centered,alpha[1],100,11,0.19,0.12,0.284599993125,15.0399625,0.16378,0.14967,10924.5,7336.79,1.0013999999999998,1.0087,0
